protein	Intercept_value	Intercept_se	Intercept_t	Intercept_p	beta_value	beta_se	beta_t	beta_p	rsquared	samples	rsquared_rank
Q13093	-0.348926821261475	0.0600417477510576	-5.81140347060149	1.51377553574704e-06	0.702733019067436	0.0882203525024936	7.9656564401913	2.79030184606084e-09	0.651109153585734	PLA	524
Q13105	-0.0865159652706825	0.108315254715673	-0.798742203928586	0.429984368265331	0.774438091344737	0.116050550235626	6.67328237369265	1.16596491540222e-07	0.567059313863436	PLA	652
Q13145	0.422418985421599	0.0683774307642014	6.17775457048547	5.06734712012024e-07	0.353356674869353	0.145766016741852	2.42413617911463	0.0208128959434208	0.147366133303001	PLA	1172
Q13158	0.723991462040409	0.191968047855294	3.77141649419779	0.000620243608085545	0.794941561540905	0.0697697149608577	11.393791159773	3.72722933669016e-13	0.792453204155036	PLA	241
Q13219	0.625885660275652	0.14711950239391	4.25426711001137	0.000155341615879834	0.371273117725469	0.120661788446258	3.07697343547026	0.00411353008345416	0.217811185110709	PLA	1107
Q13231	-0.642453699454372	0.074516725220776	-8.62160404326584	4.50514336235848e-10	0.859702631977061	0.0328340321355058	26.1832792399385	4.05398592931114e-24	0.9527491721106	PLA	2
Q13232	-0.0999619671671077	0.0496533468908304	-2.01319696307457	0.0520654467810981	0.710723512883646	0.115532955035734	6.15169509568783	5.47659021186192e-07	0.526748143104947	PLA	724
Q13241	-0.157691348407894	0.0697794931939339	-2.25985230316351	0.0303509864861627	0.761058617437582	0.118424608911911	6.42652422017867	2.41874037096388e-07	0.548474056102438	PLA	679
Q13261	0.263944703557173	0.18277607501152	1.44408781915542	0.15786676723503	0.32333977810168	0.206641005888741	1.56474159962119	0.126904615941675	0.0671748329257175	PLA	1223
Q13275	0.269495484265019	0.0878365776568552	3.0681464539504	0.00420952923026095	0.433555600850127	0.127675950891083	3.39574992646799	0.00175671108604753	0.253257951490537	PLA	1062
Q13291	0.456538568779775	0.163186736108909	2.79764507622167	0.00841481068055242	0.507515992531489	0.271841218274456	1.86695746786674	0.0705500800158104	0.092983350360844	PLA	1208
Q13308	0.390782112276422	0.111979506446116	3.4897645531637	0.00135860131192227	-0.073800413744594	0.180360719277422	-0.409182298896678	0.684972167644429	0.00490028524173601	PLA	1257
Q13332	0.212622458318982	0.0555162651969876	3.82991286543748	0.000525763393304879	0.365675301994765	0.121952028761628	2.99851757865815	0.00504464526206823	0.209138776759085	PLA	1114
Q13361	0.147634139645851	0.146974446283961	1.00448849020064	0.322238903252119	0.63699628830689	0.141846176159308	4.49075403760956	7.77596493079343e-05	0.372310069722586	PLA	925
Q13421	-0.621179184163641	0.0645845066042836	-9.61808360586658	3.13190147193017e-11	1.01679029788986	0.0936747112739911	10.8544801906656	1.37153252491487e-12	0.776050203003439	PLA	290
Q13426	-0.0569582454508853	0.11251416408873	-0.506231779013774	0.615960928687982	0.61651214189143	0.141772341880752	4.34860660205496	0.000117974972979397	0.357403964991898	PLA	949
Q13444	0.368242249514521	0.0854409999739259	4.30990097993818	0.000132094404974042	0.599171402723835	0.130205587086818	4.60173342887598	5.60653744011757e-05	0.383789501389349	PLA	909
Q13451	0.469880584000863	0.276118693234912	1.70173405681413	0.0979340620902026	0.955712668125586	0.0700128902888282	13.6505244131892	2.34362250527928e-15	0.845690790578162	PLA	106
Q13459	-0.509338339858575	0.220885187291975	-2.30589631700976	0.0273435454508651	0.716477943373792	0.0937515989312379	7.64230105450567	6.98544385069799e-09	0.632053608382762	PLA	558
Q13478	0.187327252311954	0.0368720517643188	5.08046727394844	1.35092390875199e-05	0.853544791470575	0.085155901255397	10.0233193341545	1.09897018020374e-11	0.747149727594444	PLA	350
Q13490	0.00173991249085407	0.101882999018405	0.0170775547207809	0.986474568319686	0.614815598553128	0.0853220317304344	7.20582463970819	2.45469247112704e-08	0.604301055442161	PLA	599
Q13508	-0.0885843501358475	0.0740748338462073	-1.19587646082021	0.240018634413897	0.545799041419013	0.0957877703244428	5.69800340450912	2.12585544904246e-06	0.48846983011718	PLA	777
Q13541	-0.00661695586100623	0.205757877671127	-0.0321589430057323	0.974533345733831	1.02524688018826	0.0761433835408192	13.4646877051194	3.47987669458957e-15	0.842079214781769	PLA	115
Q5ZPR3	-0.386195530233404	0.088120240062889	-4.38259734605565	0.000106807646260393	0.87018295290628	0.0971101664443709	8.96078119075987	1.79201748296254e-10	0.702525730349573	PLA	442
Q6BAA4	-0.342647254253642	0.07403034103046	-4.62847056334184	5.18066813521043e-05	0.718467387992221	0.0684620192165769	10.494393770645	3.34178116828365e-12	0.764105617857249	PLA	323
Q6DN72	0.00381325150579485	0.0683888138175353	0.0557584097886065	0.955860647393627	0.897797086910275	0.0775484316481299	11.5772436376787	2.41290751738915e-13	0.797658275712923	PLA	231
Q6EIG7	-0.300663359914304	0.0609691309256689	-4.9314030780734	2.10765523681001e-05	0.401943725279782	0.0838351159588968	4.79445541027044	3.16779931019792e-05	0.403370633192353	PLA	889
Q6EMK4	0.0785547387267663	0.0695044737087912	1.1302112588593	0.26629749615061	0.336712187745593	0.131321252979332	2.56403422984843	0.0149370564671159	0.162030549992162	PLA	1162
Q6FI81	0.460460434589376	0.23667282422382	1.94555685089523	0.0600136098262156	0.915538878380002	0.0751678564822443	12.1799253194917	5.95404293910742e-14	0.81354597362399	PLA	190
Q6GTS8	1.71104659501525	0.170156500262721	10.0557227750535	1.01162683522075e-11	0.710524315532059	0.0476509158710699	14.9110316673564	1.76756870066203e-16	0.867363070563071	PLA	60
Q6GTX8	-0.0726526048481976	0.0818406843264814	-0.887732127927591	0.380921982849188	0.624253834200749	0.134691511222582	4.63469322256806	5.08623586255744e-05	0.387170757962539	PLA	906
Q6ISS4	-0.14598366592031	0.0726732824394811	-2.0087666473835	0.0525564069721291	0.792178309275647	0.0475514733109778	16.6593851697286	6.34101060218267e-18	0.890863024915611	PLA	24
Q6NW40	0.207083498894723	0.11335348627351	1.82688248683462	0.0765074557808708	0.312287207564636	0.154191063369858	2.02532624614924	0.0507417466249101	0.107657135410314	PLA	1197
Q6NXT1	-0.109646343205598	0.0868604331875851	-1.26232784228469	0.215421045512895	0.694227176363001	0.0596343753425909	11.6413926091246	2.07460162947684e-13	0.799436087282444	PLA	227
Q6P1M0	0.21685692025251	0.153167360432219	1.41581678786243	0.165925135981673	0.634457222408382	0.105137256857592	6.03456130939152	7.76759581534562e-07	0.51715471335856	PLA	741
Q6P1N0	-0.0164022775694888	0.274096757523496	-0.0598411951957615	0.952632475330112	0.958930338642757	0.0909292794638033	10.5458917556306	2.9391260798442e-12	0.76586575088968	PLA	317
Q6P2H3	-0.0885970480535381	0.228462508136072	-0.387796880881521	0.700583670025699	0.591217432747834	0.077692795054978	7.60968159698038	7.66798091037663e-09	0.630061844767396	PLA	562
Q6P4E1	0.142990945035917	0.0816605186756719	1.7510413521108	0.088957379655183	0.418260714825358	0.135706474897962	3.08209844180131	0.00405874788773904	0.218378780297747	PLA	1106
Q6PCB0	0.392602072767676	0.0591952469676812	6.63232426383871	1.31569585570222e-07	0.730074200218147	0.104062342152455	7.01573869199061	4.26855473785154e-08	0.591447257854543	PLA	619
Q6PGN9	0.0378034585092865	0.10536176317807	0.358796752911163	0.721965651118833	0.615659497284975	0.0611944733043315	10.0607042440448	9.98841418171036e-12	0.748553758661829	PLA	348
Q6PIL6	0.156917005924108	0.0926958184727567	1.69281644533109	0.0996357707857758	0.28255609939119	0.119050676653863	2.37341027647172	0.0234181515474209	0.14213068630029	PLA	1178
Q6PJW8	0.556359764832589	0.34959483231611	1.59144161584608	0.120766454585169	0.876511633279804	0.0982572774633906	8.92057724280403	1.99740367125071e-10	0.700642821146538	PLA	444
